village_id,village_name,district,lat,lon,population,households,river_distance_km,elevation_m
44,Village_44,Cachar,27.795586,91.778702,825,734,2.1,69.2
45,Village_45,Cachar,26.478294,90.765479,2636,309,13.56,38.3
46,Village_46,Darrang,25.88525,92.186761,2957,568,6.67,77.7
47,Village_47,Darrang,24.753901,91.333142,1319,175,10.98,55.5
48,Village_48,Darrang,24.963598,90.896035,1063,1000,5.26,35.6
49,Village_49,Darrang,26.033646,91.672872,2978,726,19.69,82.6
50,Village_50,Darrang,26.351292,92.171453,2952,779,2.52,89.0
51,Village_51,Darrang,25.425631,93.058851,1773,378,5.99,29.0
52,Village_52,Darrang,25.700081,92.249989,2662,617,10.03,91.5
53,Village_53,Darrang,27.461363,89.869194,3969,949,5.9,10.3
54,Village_54,Darrang,27.198917,92.048454,2645,265,14.95,59.7
55,Village_55,Darrang,25.996904,89.538679,1116,807,18.13,59.1
56,Village_56,Darrang,27.421083,91.830038,1713,540,2.99,37.7
57,Village_57,Darrang,27.646435,92.684489,826,466,4.6,32.5
58,Village_58,Darrang,24.859778,92.620465,3829,735,15.11,93.3
59,Village_59,Darrang,25.328581,90.150007,1950,522,0.98,76.3
60,Village_60,Dhemaji,27.238353,91.146853,2532,373,3.6,73.1
61,Village_61,Dhemaji,25.838896,89.654898,4355,327,4.39,92.7
62,Village_62,Dhemaji,25.723804,92.782146,2364,328,0.96,27.4
63,Village_63,Dhemaji,25.648917,92.957412,2786,459,13.01,46.0
64,Village_64,Dhemaji,27.934024,91.644863,726,218,17.6,33.5
65,Village_65,Dhemaji,26.532064,93.434202,813,211,12.13,41.1
66,Village_66,Dhemaji,27.252499,91.245576,4689,218,8.01,61.9
67,Village_67,Dhemaji,25.391529,92.335141,513,632,18.55,58.5
68,Village_68,Dhemaji,27.018005,92.4678,2114,472,8.91,95.4
69,Village_69,Dhemaji,27.722698,91.992622,1520,837,18.05,55.6
70,Village_70,Dhemaji,26.834125,90.804732,2922,667,2.98,47.8
71,Village_71,Dhemaji,27.791273,92.209272,1925,730,11.6,46.5
72,Village_72,Dhemaji,27.418038,90.7155,2221,540,15.82,64.6
73,Village_73,Dhemaji,25.627872,91.267144,2250,623,9.73,91.1
74,Village_74,Dhemaji,27.286087,90.178766,1194,390,10.55,67.0
75,Village_75,Dhubri,24.826855,93.307999,2424,788,6.55,82.6
76,Village_76,Dhubri,25.015739,89.684855,4392,725,17.07,16.6
77,Village_77,Dhubri,25.950544,92.019062,2092,835,14.08,54.5
78,Village_78,Dhubri,25.353946,92.124232,545,868,17.28,89.7
79,Village_79,Dhubri,27.224471,90.375365,4743,575,1.48,32.4
80,Village_80,Dhubri,27.469177,91.325847,4306,783,10.86,60.3
81,Village_81,Dhubri,25.610543,92.521,4125,727,16.39,90.3
82,Village_82,Dhubri,25.993593,93.127419,4152,262,15.0,52.7
83,Village_83,Dhubri,25.40717,90.488959,2771,884,15.66,53.6
84,Village_84,Dhubri,25.337361,91.25949,2840,340,5.8,38.8
85,Village_85,Dhubri,26.390533,90.053496,2394,492,14.03,73.6
86,Village_86,Dhubri,24.724801,91.130397,4945,577,8.61,28.6
87,Village_87,Dhubri,25.970502,93.119354,660,977,17.67,61.8
88,Village_88,Dhubri,26.169429,93.270967,2946,871,8.1,90.2
89,Village_89,Dhubri,27.42505,91.652882,4973,919,12.26,29.8
90,Village_90,Dibrugarh,25.455274,91.442568,3685,444,13.54,81.8
91,Village_91,Dibrugarh,27.034635,92.862023,1545,737,10.92,91.6
92,Village_92,Dibrugarh,26.571625,92.151999,1187,758,8.86,88.0
93,Village_93,Dibrugarh,25.136052,90.540625,3181,316,9.37,40.4
94,Village_94,Dibrugarh,27.57874,90.613026,3953,358,16.78,52.3
95,Village_95,Dibrugarh,27.121585,89.708342,3366,329,13.18,80.3
96,Village_96,Dibrugarh,26.781141,92.516933,2525,304,16.86,65.9
97,Village_97,Dibrugarh,25.334907,91.394244,1437,677,18.98,51.9
98,Village_98,Dibrugarh,25.396853,90.975581,1438,896,16.48,96.8
99,Village_99,Dibrugarh,24.878346,89.602714,3055,689,13.71,96.2
100,Village_100,Dibrugarh,25.888291,92.360059,1122,706,13.97,66.5
101,Village_101,Dibrugarh,24.856655,92.589924,1491,915,19.68,80.4
102,Village_102,Dibrugarh,25.715213,91.213512,3535,170,10.37,40.7
103,Village_103,Goalpara,27.378158,89.922155,3467,750,17.89,51.4
104,Village_104,Goalpara,25.035469,90.204548,4774,766,5.77,82.7
105,Village_105,Goalpara,26.383605,91.43399,4068,945,14.76,34.2
106,Village_106,Goalpara,27.480996,92.822924,1209,385,17.69,31.9
107,Village_107,Goalpara,26.12648,91.941327,3604,444,1.06,86.6
108,Village_108,Goalpara,25.13644,90.348479,2616,448,5.95,63.7
109,Village_109,Goalpara,27.580376,91.723164,4732,295,2.17,74.8
110,Village_110,Goalpara,26.210022,92.532659,4400,761,14.38,50.3
111,Village_111,Goalpara,24.560351,90.676942,3812,808,5.24,69.8
112,Village_112,Goalpara,25.791572,91.713892,3316,535,19.93,59.5
113,Village_113,Goalpara,25.731337,91.314981,3011,357,5.0,74.9
114,Village_114,Goalpara,25.604418,92.471524,2016,296,4.72,53.6
115,Village_115,Goalpara,27.036048,93.406428,4797,711,6.02,19.0
116,Village_116,Goalpara,25.179412,90.409933,1969,409,0.78,58.1
117,Village_117,Goalpara,25.46009,93.39718,2893,814,18.91,67.4
118,Village_118,Goalpara,27.134773,89.910351,600,687,6.04,53.1
119,Village_119,Golaghat,25.145273,89.705507,4413,216,16.53,46.1
120,Village_120,Golaghat,24.759288,92.017783,939,255,3.41,60.7
121,Village_121,Golaghat,25.563424,93.475672,1470,671,15.41,64.6
122,Village_122,Golaghat,27.267593,90.402749,4780,489,9.29,49.8
123,Village_123,Golaghat,27.510583,93.460125,3001,682,12.61,64.9
124,Village_124,Golaghat,27.090313,93.290361,2202,740,4.61,69.4
125,Village_125,Golaghat,25.0497,90.195254,1114,260,0.55,50.5
126,Village_126,Golaghat,26.578339,90.665037,2396,395,14.29,73.3
127,Village_127,Golaghat,26.08911,92.24954,2667,906,15.93,63.1
128,Village_128,Golaghat,27.31367,90.291277,1440,657,4.88,23.4
129,Village_129,Golaghat,25.429714,90.068945,988,269,15.96,63.6
130,Village_130,Golaghat,27.384841,93.18477,4097,227,9.64,37.4
131,Village_131,Golaghat,25.90878,90.588985,4923,605,9.04,63.8
132,Village_132,Golaghat,27.61298,92.438136,2551,126,2.28,96.6
133,Village_133,Golaghat,27.425855,91.800796,669,883,13.61,34.3
134,Village_134,Jorhat,27.170882,90.200763,4751,767,9.12,35.0
135,Village_135,Jorhat,27.989309,91.24354,4528,193,9.67,46.8
136,Village_136,Jorhat,25.623704,89.9184,1817,437,8.53,54.6
137,Village_137,Jorhat,26.819042,91.101809,800,565,2.22,32.7
138,Village_138,Jorhat,24.905726,92.590192,4715,944,19.77,69.2
139,Village_139,Jorhat,26.399078,91.15299,2036,630,7.55,78.1
140,Village_140,Jorhat,26.688931,92.539962,2167,373,11.21,93.5
141,Village_141,Jorhat,26.033406,92.293,1494,129,19.48,64.8
142,Village_142,Jorhat,25.337541,90.133513,612,665,8.46,30.2
143,Village_143,Jorhat,27.44492,89.953844,1462,763,16.73,54.9
144,Village_144,Kamrup,26.281052,90.5937,4452,583,5.25,59.6
145,Village_145,Kamrup,25.842551,93.187473,4663,864,17.65,87.8
146,Village_146,Kamrup,25.466866,92.660025,3899,448,18.72,55.7
147,Village_147,Kamrup,27.371923,90.631356,2945,957,11.95,99.9
148,Village_148,Kamrup,26.213741,90.094382,4912,595,7.23,59.7
149,Village_149,Kamrup,26.402005,91.321378,3136,990,4.18,72.8
150,Village_150,Kamrup,26.501292,90.43425,3865,144,6.7,52.6
151,Village_151,Kamrup,27.697006,91.024925,1746,607,19.31,21.4
152,Village_152,Kamrup,27.878738,90.827979,1322,995,16.98,19.0
153,Village_153,Kamrup,27.686546,89.56139,1680,519,17.48,97.3
154,Village_154,Kamrup,24.761899,92.626101,2671,446,12.65,45.8
155,Village_155,Kamrup,24.781104,90.814262,4871,489,19.11,66.4
156,Village_156,Kamrup,27.606035,91.45179,4932,136,12.54,31.1
157,Village_157,Kamrup,26.895399,90.649516,2363,864,2.26,98.1
158,Village_158,Karimganj,26.963618,89.902029,1862,810,6.34,12.6
159,Village_159,Karimganj,25.635311,89.724477,3436,483,8.9,32.0
160,Village_160,Karimganj,25.942181,92.227201,1975,274,3.91,64.9
161,Village_161,Karimganj,25.838905,92.232538,4576,697,3.29,51.5
162,Village_162,Karimganj,25.388921,90.521307,576,923,9.57,35.9
163,Village_163,Karimganj,26.413093,89.795448,3330,701,6.33,96.6
164,Village_164,Karimganj,26.916097,91.327343,2974,303,19.99,86.8
165,Village_165,Karimganj,24.873286,91.025457,3440,688,6.27,72.9
166,Village_166,Karimganj,24.576789,92.82015,3742,381,0.66,87.9
167,Village_167,Karimganj,27.224091,93.394411,4569,952,18.13,35.8
168,Village_168,Karimganj,27.29601,91.92826,3386,324,12.91,65.9
169,Village_169,Karimganj,26.872176,92.383714,1620,743,2.39,66.5
170,Village_170,Karimganj,24.637979,92.654442,773,693,7.61,21.8
171,Village_171,Karimganj,27.683697,90.806877,3903,279,4.42,80.8
172,Village_172,Karimganj,27.567612,90.96343,4610,379,16.69,33.1
173,Village_173,Karimganj,27.386414,91.427391,2917,864,17.47,82.4
174,Village_174,Karimganj,26.13916,89.801197,2348,980,13.69,70.7
175,Village_175,Karimganj,25.89094,92.882978,3496,192,15.92,11.3
176,Village_176,Karimganj,26.378003,91.319144,2647,698,7.93,67.5
177,Village_177,Karimganj,25.800158,92.199346,4362,125,12.58,94.9
178,Village_178,Kokrajhar,27.703396,90.385469,1017,750,16.57,91.8
179,Village_179,Kokrajhar,25.557666,91.133183,1645,146,18.95,37.4
180,Village_180,Kokrajhar,26.224186,89.888768,4903,238,8.08,43.4
181,Village_181,Kokrajhar,27.822833,92.285936,4925,529,11.95,75.4
182,Village_182,Kokrajhar,27.598948,92.119688,4508,730,8.46,95.6
183,Village_183,Kokrajhar,24.614507,90.98212,4132,555,19.04,87.0
184,Village_184,Kokrajhar,24.847741,92.242721,4960,760,7.49,45.8
185,Village_185,Kokrajhar,25.16433,89.988639,4225,193,13.42,67.8
186,Village_186,Kokrajhar,26.590011,89.58543,3232,349,19.78,80.8
187,Village_187,Kokrajhar,25.21822,92.819271,2197,700,4.71,88.3
188,Village_188,Kokrajhar,25.649958,90.090217,523,383,17.24,23.0
189,Village_189,Kokrajhar,24.954972,90.502617,1929,212,13.39,12.3
190,Village_190,Kokrajhar,24.552011,92.659939,2449,702,6.81,25.7
191,Village_191,Kokrajhar,24.683397,92.466872,4809,216,15.04,52.9
192,Village_192,Kokrajhar,27.22306,91.552952,1393,562,10.32,95.1
193,Village_193,Lakhimpur,27.04535,93.135007,4771,408,9.43,96.8
194,Village_194,Lakhimpur,24.712889,91.415928,3790,536,13.88,54.1
195,Village_195,Lakhimpur,27.683953,89.793963,1161,429,12.36,15.9
196,Village_196,Lakhimpur,25.462556,92.032307,4992,829,6.84,99.5
197,Village_197,Lakhimpur,26.356949,91.314862,4024,201,15.97,20.3
198,Village_198,Lakhimpur,26.791495,93.010825,2261,540,9.31,30.6
199,Village_199,Lakhimpur,25.686261,91.313996,3907,847,2.35,48.4
200,Village_200,Lakhimpur,26.827878,90.997204,1750,803,18.5,16.0
201,Village_201,Lakhimpur,27.411202,89.87292,1291,862,14.91,83.1
202,Village_202,Lakhimpur,26.447298,91.84586,3200,786,2.88,41.8
203,Village_203,Morigaon,27.793955,91.191747,921,394,12.21,41.6
204,Village_204,Morigaon,26.522715,90.350955,4450,329,17.02,41.5
205,Village_205,Morigaon,26.446929,89.959541,2782,687,4.91,48.6
206,Village_206,Morigaon,26.46338,92.56973,715,723,18.62,84.7
207,Village_207,Morigaon,25.436067,90.221664,3031,447,7.34,26.3
208,Village_208,Morigaon,25.00138,92.129379,1070,245,14.95,97.5
209,Village_209,Morigaon,24.821152,91.621931,3581,529,9.35,24.2
210,Village_210,Morigaon,25.590731,90.797532,1195,153,3.53,77.9
211,Village_211,Morigaon,24.674169,89.826326,4129,777,8.77,64.6
212,Village_212,Morigaon,25.949643,90.362276,4697,216,7.23,20.0
213,Village_213,Morigaon,26.873763,91.872537,4816,783,6.51,29.8
214,Village_214,Morigaon,27.94556,89.719128,2174,408,18.93,79.1
215,Village_215,Morigaon,27.174563,90.657789,1482,107,10.2,48.8
216,Village_216,Morigaon,24.95215,91.630329,2385,612,11.4,70.1
217,Village_217,Morigaon,25.739585,91.088285,846,546,0.87,92.9
218,Village_218,Morigaon,27.517385,91.803037,3813,826,12.98,36.1
219,Village_219,Morigaon,25.917613,93.364799,1907,920,18.98,51.4
220,Village_220,Morigaon,26.913635,90.947411,4077,964,2.56,49.2
221,Village_221,Morigaon,25.901574,89.814588,3041,863,7.12,40.0
222,Village_222,Morigaon,25.088464,91.541933,1434,643,10.44,91.5
223,Village_223,Nagaon,25.728849,93.332893,1709,341,2.5,33.0
224,Village_224,Nagaon,25.107247,90.111479,1117,281,19.05,66.5
225,Village_225,Nagaon,26.123836,91.754942,4177,797,18.52,60.8
226,Village_226,Nagaon,26.723544,91.998087,3089,254,9.08,52.2
227,Village_227,Nagaon,26.709848,92.685319,960,460,10.39,37.9
228,Village_228,Nagaon,26.081699,89.72756,2851,178,13.07,98.0
229,Village_229,Nagaon,24.816038,91.876319,3649,573,11.82,95.9
230,Village_230,Nagaon,27.086224,89.664091,2042,429,12.3,55.1
231,Village_231,Nagaon,27.852028,91.302092,3313,831,2.14,68.2
232,Village_232,Nagaon,24.636997,92.330487,4099,636,10.69,24.3
233,Village_233,Nagaon,25.804982,90.631574,3848,893,7.1,63.8
234,Village_234,Nagaon,27.262294,92.089221,1039,437,2.34,71.1
235,Village_235,Nagaon,25.494514,92.394935,1731,441,2.09,69.7
236,Village_236,Nagaon,27.708613,90.740927,3710,232,12.1,94.4
237,Village_237,Nagaon,25.583537,91.006717,3190,932,2.99,73.3
238,Village_238,Nalbari,27.693568,89.873812,3968,620,7.56,42.6
239,Village_239,Nalbari,25.13092,90.356771,4483,296,4.92,22.4
240,Village_240,Nalbari,24.770078,92.877714,1328,619,15.53,85.2
241,Village_241,Nalbari,27.592888,89.65099,3258,997,15.44,21.8
242,Village_242,Nalbari,25.81852,90.148989,1856,838,9.03,47.0
243,Village_243,Nalbari,26.86727,90.450121,4138,725,6.06,77.4
244,Village_244,Nalbari,26.071248,91.636045,3035,928,15.8,91.4
245,Village_245,Nalbari,25.179057,92.213227,4109,572,15.5,80.0
246,Village_246,Nalbari,26.260173,91.174643,1827,936,4.39,64.4
247,Village_247,Nalbari,27.555507,89.708719,4436,995,7.74,94.1
248,Village_248,Nalbari,26.989903,91.563638,1521,391,2.14,24.4
249,Village_249,Nalbari,26.072617,91.553411,4083,193,18.96,30.0
250,Village_250,Nalbari,26.078948,90.89834,718,524,1.54,55.2
251,Village_251,Nalbari,25.325223,93.478101,3571,329,1.05,93.8
252,Village_252,Nalbari,27.437117,92.099843,1696,240,1.25,92.6
253,Village_253,Nalbari,26.153592,92.824442,4342,559,12.5,91.5
254,Village_254,Nalbari,24.566514,90.362619,1724,661,18.83,64.8
255,Village_255,Nalbari,25.981392,92.604691,2446,408,2.88,31.5
256,Village_256,Nalbari,26.736331,91.991242,1014,213,16.82,55.0
257,Village_257,Nalbari,26.376188,92.02782,2481,835,3.3,48.6
258,Village_258,Sivasagar,25.734856,91.782655,2034,780,13.53,57.1
259,Village_259,Sivasagar,25.762113,93.313615,4957,619,15.84,55.7
260,Village_260,Sivasagar,24.57117,92.993326,856,750,8.04,43.6
261,Village_261,Sivasagar,27.115608,90.928376,1053,453,5.2,69.1
262,Village_262,Sivasagar,24.862824,91.827613,3223,236,1.36,59.1
263,Village_263,Sivasagar,27.347281,90.200357,4306,812,9.83,26.4
264,Village_264,Sivasagar,24.971984,92.36418,4249,137,6.22,13.9
265,Village_265,Sivasagar,25.198144,89.667624,3040,627,8.27,83.4
266,Village_266,Sivasagar,26.156899,89.646483,2065,392,7.46,80.3
267,Village_267,Sivasagar,27.530294,90.827699,1519,918,7.68,90.1
268,Village_268,Sivasagar,27.101577,93.07855,3667,447,19.49,54.7
269,Village_269,Sivasagar,26.241332,93.197242,4753,373,16.12,75.4
270,Village_270,Sivasagar,24.776245,91.909813,1978,658,6.23,19.2
271,Village_271,Sivasagar,25.64772,90.68256,4152,717,14.49,25.0
272,Village_272,Sivasagar,26.053679,91.288519,3388,729,19.96,34.7
273,Village_273,Sivasagar,27.930095,93.291618,1114,787,12.93,42.7
274,Village_274,Sivasagar,27.303836,92.217642,755,246,17.05,71.0
275,Village_275,Sivasagar,26.033605,90.00492,2433,897,13.08,42.6
276,Village_276,Sivasagar,27.823135,89.629541,1756,795,9.27,43.4
277,Village_277,Sonitpur,27.170796,91.795687,4837,475,8.26,68.5
278,Village_278,Sonitpur,25.373641,89.953794,2024,611,10.6,92.2
279,Village_279,Sonitpur,24.912163,92.599858,4155,319,19.93,35.7
280,Village_280,Sonitpur,27.707676,91.464801,1504,238,17.13,50.7
281,Village_281,Sonitpur,27.645377,91.280445,1219,929,13.8,86.1
282,Village_282,Sonitpur,25.618557,90.889701,1031,663,11.07,90.2
283,Village_283,Sonitpur,27.479767,92.347236,1926,912,7.55,30.2
284,Village_284,Sonitpur,27.947964,92.668263,2439,909,10.13,42.5
285,Village_285,Sonitpur,26.502971,91.369623,1563,726,17.74,15.9
286,Village_286,Sonitpur,25.89356,92.367734,4421,638,8.51,46.8
287,Village_287,Sonitpur,26.512152,90.001307,3097,757,1.95,51.9
288,Village_288,Sonitpur,26.31076,90.013338,1990,886,19.34,48.9
289,Village_289,Sonitpur,27.687493,89.721651,1517,630,3.48,24.8
290,Village_290,Sonitpur,25.629313,92.337329,3334,631,17.95,86.1
291,Village_291,Sonitpur,25.377119,92.040228,2748,228,12.69,65.3
292,Village_292,Sonitpur,24.826999,92.06395,1763,275,13.35,74.9
293,Village_293,Sonitpur,26.617986,92.87012,837,945,17.34,17.3
294,Village_294,Tinsukia,27.198578,90.558624,2226,885,11.66,65.6
295,Village_295,Tinsukia,24.606001,93.055988,4969,396,13.02,37.2
296,Village_296,Tinsukia,25.357073,92.729397,3826,404,9.34,72.0
297,Village_297,Tinsukia,25.053282,91.162487,4304,308,7.13,22.9
298,Village_298,Tinsukia,27.515198,90.777266,3329,508,3.05,43.3
299,Village_299,Tinsukia,26.465779,90.776464,4321,225,5.72,32.3
300,Village_300,Tinsukia,24.838841,90.660848,3646,984,12.5,32.3
301,Village_301,Tinsukia,27.528576,90.138799,3182,691,14.56,27.1
302,Village_302,Tinsukia,25.057698,93.483878,4324,610,17.64,54.8
303,Village_303,Tinsukia,24.815172,91.072969,4245,346,4.7,41.8
304,Village_304,Tinsukia,24.676891,91.479577,4355,392,10.97,86.2
305,Village_305,Tinsukia,26.008247,93.029823,3496,882,8.36,14.1
306,Village_306,Tinsukia,24.679052,91.747267,3469,666,6.13,44.8
307,Village_307,Tinsukia,26.07624,91.699428,1473,231,19.51,45.5
308,Village_308,Tinsukia,27.28214,90.856341,3495,873,3.31,64.2
309,Village_309,Tinsukia,25.904855,89.66102,818,240,14.42,82.4
310,Village_310,Tinsukia,26.317664,90.095763,4723,243,6.9,65.2
311,Village_311,Tinsukia,25.068757,93.462463,2951,707,7.06,84.5
312,Village_312,Tinsukia,26.363189,92.334959,2955,586,16.41,43.2
313,Village_313,Tinsukia,26.858322,93.419592,3020,915,18.03,88.5
