district,lat,lon,elevation_m,slope_deg,aspect,roughness,flow_accum,stream_order
Barpeta,24.682544,93.446303,88.6,1.2,21.2,1.625,26.0,1
Barpeta,27.756107,90.637299,68.6,23.0,14.7,0.688,80.47,3
Barpeta,25.0446,90.909311,74.3,28.9,29.5,0.732,93.4,4
Barpeta,27.656803,90.667852,88.6,0.5,15.5,1.815,41.09,1
Barpeta,26.533659,93.42564,12.3,9.1,220.7,0.528,7.87,5
Barpeta,26.143352,89.840585,135.8,0.1,18.0,1.641,92.36,5
Barpeta,27.115542,93.358935,111.2,8.5,37.8,0.407,20.42,2
Barpeta,26.228629,90.367918,134.9,15.1,179.4,1.869,48.01,1
Bongaigaon,26.05783,93.145057,141.2,25.9,210.5,1.847,8.56,3
Bongaigaon,27.476887,89.79902,119.7,27.8,355.2,0.656,72.28,4
Bongaigaon,25.692884,90.491192,79.5,9.1,308.4,1.688,1.13,5
Bongaigaon,26.125144,92.363093,27.2,12.0,331.0,0.148,53.63,3
Bongaigaon,27.297461,91.436794,57.1,14.5,269.6,1.047,37.09,2
Bongaigaon,25.836096,89.72348,127.4,5.3,178.9,1.115,41.17,4
Bongaigaon,24.741663,90.530602,115.0,18.8,176.1,0.607,84.24,3
Bongaigaon,27.139016,90.54723,91.8,2.4,262.8,0.65,33.46,2
Bongaigaon,26.465278,93.257365,38.0,3.9,49.2,1.605,31.04,3
Bongaigaon,24.758852,91.918185,143.9,4.5,224.3,1.363,74.22,1
Bongaigaon,25.254568,91.071132,126.5,22.2,179.3,1.696,11.2,3
Bongaigaon,25.894763,90.989637,91.4,10.9,304.7,0.599,26.1,2
Bongaigaon,27.235071,92.171669,30.7,4.6,295.0,1.763,55.52,3
Bongaigaon,27.267965,92.694059,116.8,29.5,24.3,1.781,38.32,3
Bongaigaon,26.254966,91.005293,148.0,20.3,132.1,1.105,89.92,2
Bongaigaon,25.07766,90.158611,48.8,25.4,22.1,1.458,74.35,4
Bongaigaon,26.529909,93.356379,75.2,22.9,8.2,0.726,35.32,5
Bongaigaon,24.951291,90.980125,44.7,13.7,167.7,0.176,27.52,5
Bongaigaon,24.521172,93.26708,84.5,3.6,71.8,1.734,12.11,3
Bongaigaon,27.01049,93.294325,27.5,8.6,314.2,1.468,70.42,1
Bongaigaon,26.941714,91.593056,63.0,17.0,98.7,1.099,28.2,1
Bongaigaon,24.792879,91.535362,135.8,14.2,281.2,1.741,78.31,5
Bongaigaon,26.509531,92.240544,61.6,5.9,113.0,0.318,5.71,3
Cachar,24.528317,92.226931,68.4,28.7,161.5,0.254,95.1,4
Cachar,27.077011,89.685085,113.5,18.3,195.4,1.074,68.05,5
Cachar,26.14382,91.774698,14.6,15.0,111.8,0.7,84.79,4
Cachar,24.863303,93.04305,71.0,22.5,132.7,1.549,39.15,5
Cachar,27.129254,92.390395,86.6,1.7,278.0,0.222,38.05,1
Cachar,27.811769,89.709963,112.4,3.4,61.3,0.996,90.11,3
Cachar,24.84196,90.504101,13.1,16.1,308.8,0.219,27.34,5
Cachar,24.68769,90.410056,78.4,15.6,15.6,0.617,64.81,1
Cachar,27.373645,90.997009,108.9,21.1,292.3,0.399,25.06,5
Cachar,24.797039,92.63992,112.2,0.7,20.0,0.438,46.95,3
Cachar,27.94838,91.30427,61.3,27.8,75.7,1.776,60.96,2
Cachar,25.147874,91.277668,19.0,21.3,242.4,0.512,32.06,2
Cachar,25.275428,92.9249,145.7,28.4,16.7,0.993,47.18,3
Cachar,27.083604,92.14097,87.6,19.6,136.2,1.455,76.03,3
Cachar,25.971997,91.297273,48.4,15.4,319.1,0.379,1.33,4
Cachar,26.88758,92.91728,126.1,20.3,70.1,1.178,78.75,3
Cachar,24.84336,91.600397,90.5,21.5,215.0,1.955,82.5,4
Cachar,25.940664,91.907595,55.0,7.1,209.5,0.426,52.51,1
Cachar,26.207307,91.27742,53.6,24.9,102.7,0.264,96.68,2
Cachar,25.943792,92.821762,68.6,4.2,247.5,1.689,36.07,1
Cachar,26.343581,90.996396,66.6,9.8,136.6,0.368,6.47,4
Cachar,25.661976,92.665509,77.8,17.4,225.8,1.777,75.52,3
Cachar,24.559539,91.965745,41.9,25.2,117.7,1.79,50.89,3
Cachar,25.189559,90.786802,32.9,19.1,147.6,0.419,93.42,4
Cachar,25.87964,90.589072,33.8,22.3,266.4,0.798,67.01,5
Cachar,26.643221,89.908606,39.9,20.3,61.6,1.789,64.36,3
Cachar,27.339603,90.239603,128.6,23.2,63.6,1.161,37.21,4
Cachar,27.857064,89.694942,134.0,23.7,210.8,0.324,96.07,2
Cachar,24.535937,92.037346,102.0,4.8,154.4,0.538,60.28,2
Cachar,25.380238,91.462875,84.3,26.0,173.4,1.505,46.12,4
Cachar,26.04225,91.067385,59.7,12.8,106.9,1.204,91.27,1
Cachar,27.221852,90.037732,16.3,12.4,247.7,1.886,33.55,3
Cachar,26.719516,90.67813,34.0,14.1,314.8,1.416,59.5,5
Darrang,25.868702,90.306225,52.7,1.6,152.7,0.105,68.04,3
Darrang,25.925019,92.709272,40.3,11.6,303.6,1.17,40.07,5
Darrang,24.543602,92.66095,109.0,16.1,346.0,0.963,81.57,2
Darrang,25.666947,89.780012,142.0,22.7,237.6,0.112,75.45,4
Darrang,24.747175,92.568736,18.1,3.8,20.1,0.735,47.63,1
Darrang,26.886835,93.363924,140.9,20.3,254.6,1.764,67.16,5
Darrang,25.297172,90.845271,36.3,11.8,331.2,1.041,59.76,5
Darrang,27.750458,93.422804,111.3,9.1,206.5,1.657,29.75,2
Darrang,25.739138,91.447553,51.7,22.2,8.6,0.679,39.55,4
Darrang,24.517414,93.496632,86.8,25.1,27.6,1.226,74.52,3
Darrang,27.506096,90.573808,91.2,14.8,272.6,1.516,10.16,2
Darrang,27.968982,92.411266,13.1,4.5,344.8,1.413,41.86,1
Darrang,27.053651,89.803843,29.9,24.8,227.4,1.345,4.0,3
Darrang,27.704616,90.94337,24.8,24.2,21.1,1.47,4.53,5
Darrang,24.634461,91.338359,56.3,17.5,313.1,0.407,16.02,5
Darrang,26.256012,91.525852,147.0,11.2,343.5,1.092,59.86,1
Darrang,27.682681,89.906928,130.3,15.6,312.5,1.2,80.94,2
Darrang,25.291226,90.192603,66.0,30.0,36.3,1.86,94.45,1
Darrang,26.761201,90.564959,74.8,25.4,215.5,0.151,47.75,3
Darrang,27.452602,91.085985,80.7,23.6,111.3,1.967,67.47,5
Darrang,27.871354,90.193625,45.7,24.5,103.9,1.831,15.62,1
Darrang,24.923833,90.542851,123.3,19.6,252.4,0.463,20.59,1
Darrang,24.587218,90.001853,83.6,3.5,212.7,0.915,86.3,5
Darrang,25.679433,89.775247,113.3,4.0,229.3,0.557,71.89,1
Dhemaji,26.744874,91.817143,36.1,7.6,268.9,0.221,55.61,2
Dhemaji,26.684955,91.213997,118.5,7.7,329.4,1.609,88.37,2
Dhemaji,27.363319,93.083955,14.2,1.8,81.1,1.578,52.68,4
Dhemaji,27.693085,92.067769,132.1,4.5,200.8,0.617,27.66,1
Dhemaji,25.205208,93.412025,112.9,1.1,205.1,0.458,31.93,2
Dhemaji,26.849244,93.313506,29.0,16.6,268.2,0.552,43.99,1
Dhemaji,26.9911,91.071619,141.4,5.1,11.8,1.83,26.98,4
Dhemaji,26.438912,89.816794,24.0,20.2,230.8,1.853,22.18,1
Dhemaji,25.944497,92.462639,96.6,25.8,134.1,1.423,26.02,1
Dhemaji,27.124624,91.868201,139.5,6.1,127.4,0.747,45.84,4
Dhemaji,26.418921,90.511346,50.0,19.3,336.6,0.287,58.09,4
Dhemaji,26.773814,90.730904,110.7,28.2,90.4,0.856,62.22,4
Dhemaji,25.058228,92.935082,41.3,28.2,308.9,0.345,58.66,1
Dhemaji,24.850157,91.880659,73.1,10.5,66.7,0.74,26.74,2
Dhemaji,24.649897,92.496778,62.4,26.7,179.6,1.671,91.44,4
Dhemaji,25.533776,92.026249,50.4,13.9,194.9,1.626,27.27,4
Dhemaji,26.386198,90.099775,106.2,5.5,14.0,0.202,77.03,2
Dhemaji,26.787149,92.796793,90.1,20.3,309.2,1.566,94.46,3
Dhemaji,25.212218,90.726261,45.3,27.4,23.2,1.732,79.32,4
Dhemaji,26.805668,90.264455,58.8,10.8,74.2,0.857,15.25,5
Dhemaji,27.175752,90.724301,144.2,16.9,206.8,1.335,27.94,5
Dhemaji,26.15224,91.275076,39.0,28.6,175.1,0.501,87.81,4
Dhemaji,27.729781,92.392534,52.5,26.8,20.2,0.674,99.68,5
Dhemaji,24.931048,91.446584,12.4,23.2,33.6,0.337,47.95,1
Dhemaji,25.177383,92.328038,37.5,9.7,55.0,1.603,17.32,4
Dhemaji,27.874065,90.909271,112.2,5.5,350.4,0.611,48.26,3
Dhemaji,26.633749,90.543132,58.5,23.3,274.2,1.715,12.8,5
Dhemaji,25.348409,92.756577,135.4,14.5,269.1,0.987,94.88,2
Dhemaji,25.968072,90.06163,110.3,1.3,29.7,1.938,31.63,2
Dhemaji,27.250864,89.748605,18.6,14.2,145.3,1.584,7.49,3
Dhemaji,26.934335,90.855965,116.5,19.7,330.8,1.418,39.85,4
Dhemaji,27.852757,90.076238,83.7,22.9,107.2,1.198,57.91,4
Dhemaji,27.839434,91.652432,39.6,27.7,329.5,1.918,96.39,4
Dhemaji,24.764474,93.495138,45.2,22.8,23.0,1.918,81.58,4
Dhemaji,26.786762,90.906837,55.7,4.7,68.9,0.883,64.27,2
Dhemaji,27.469782,90.182611,63.0,8.3,180.1,1.933,18.35,3
Dhemaji,26.206653,89.882514,56.4,22.0,301.9,1.027,94.23,5
Dhemaji,25.339578,92.991304,100.3,26.2,157.5,1.779,91.88,4
Dhemaji,25.263632,92.812987,92.9,11.9,58.0,1.935,59.44,4
Dhemaji,27.004442,92.775243,113.0,7.6,49.9,1.926,41.97,2
Dhemaji,26.026331,90.506942,24.4,4.9,330.9,0.6,65.18,3
Dhemaji,26.317192,93.015591,106.7,8.3,29.7,0.409,8.89,3
Dhemaji,26.915894,90.109515,43.1,10.9,113.8,0.815,15.26,3
Dhemaji,24.964344,92.02654,148.2,28.8,109.5,0.799,3.95,1
Dhemaji,26.518873,90.462921,125.0,18.9,356.2,0.323,0.42,4
Dhemaji,25.655214,93.391174,119.9,13.9,36.3,1.281,43.45,1
Dhubri,24.608929,92.285075,115.1,3.2,158.6,0.133,39.61,2
Dhubri,24.536806,92.715822,43.2,28.0,228.7,0.121,87.33,4
Dhubri,24.978583,93.196994,124.3,18.8,318.0,1.65,61.46,5
Dhubri,26.694799,90.476158,87.7,2.4,353.6,0.817,48.82,1
Dhubri,24.556592,92.715102,140.7,5.4,209.9,0.617,2.42,4
Dhubri,27.467741,91.709612,116.4,21.6,44.4,0.611,47.24,4
Dhubri,26.281307,92.04817,106.6,24.0,17.8,1.112,7.0,2
Dhubri,26.325088,90.140396,67.6,28.9,102.0,1.826,70.14,4
Dhubri,24.712253,92.205063,142.5,6.2,338.2,0.897,98.93,1
Dhubri,26.581988,90.075965,103.4,11.2,82.1,0.2,29.67,3
Dhubri,27.680166,91.055629,45.6,6.8,163.3,1.424,14.06,2
Dhubri,25.420427,93.155616,44.2,3.0,6.5,0.218,75.74,1
Dhubri,25.504416,92.033581,54.7,19.6,54.5,0.558,70.33,4
Dhubri,27.169272,91.209215,65.1,21.6,131.6,0.229,89.67,5
Dhubri,27.806163,92.101556,61.6,9.4,259.1,1.51,7.92,2
Dhubri,25.235405,92.796217,115.0,22.9,51.4,1.283,53.04,2
Dhubri,27.112458,90.834579,112.3,10.8,127.0,1.467,16.82,3
Dhubri,27.299569,91.402354,24.8,0.9,92.8,0.14,90.76,1
Dhubri,26.670115,91.280599,44.2,29.8,244.7,1.255,51.37,4
Dhubri,27.657468,91.757646,108.1,15.6,183.4,0.196,21.72,3
Dhubri,24.882585,89.626445,40.9,18.2,181.7,1.635,81.36,5
Dhubri,26.183562,90.620587,139.6,22.2,184.1,0.127,17.76,5
Dhubri,27.615224,93.344097,115.7,19.2,110.5,0.412,36.99,3
Dhubri,27.299633,91.681205,92.2,7.8,97.3,1.858,96.2,5
Dhubri,24.764921,91.092928,47.1,13.8,274.0,1.21,75.13,3
Dhubri,27.137277,90.224334,109.5,15.3,311.3,0.912,77.46,3
Dhubri,26.23006,90.059156,25.5,27.1,23.6,1.824,16.47,4
Dhubri,25.132288,91.160276,26.7,28.8,7.4,0.304,48.73,2
Dhubri,25.336436,92.568657,13.6,12.3,37.4,0.293,19.87,5
Dhubri,26.687636,92.303103,88.2,22.6,167.4,1.467,89.8,3
Dhubri,26.520719,89.580484,65.6,19.9,89.5,0.28,18.74,2
Dhubri,27.097827,90.412087,67.2,19.4,135.3,0.89,81.28,4
Dhubri,26.899318,90.301825,50.9,0.6,89.4,1.809,94.4,2
Dibrugarh,26.388751,90.665525,149.4,27.2,300.9,1.171,85.55,5
Dibrugarh,26.874834,90.610755,65.6,13.7,107.2,0.959,69.76,1
Dibrugarh,24.692263,92.506528,64.2,27.8,240.1,0.107,42.55,5
Dibrugarh,26.081872,92.711859,138.9,1.8,115.9,0.47,11.87,4
Dibrugarh,25.157665,92.944277,89.0,2.0,297.4,0.243,85.59,3
Dibrugarh,25.211968,91.231392,18.1,16.3,240.3,0.352,43.96,3
Dibrugarh,24.770676,93.411392,82.2,1.7,259.1,0.15,37.29,1
Dibrugarh,27.700692,90.043878,143.0,26.2,112.8,1.317,95.53,2
Dibrugarh,25.664389,92.077276,101.7,15.5,285.2,1.19,59.43,5
Dibrugarh,24.521903,90.2445,23.2,9.8,260.5,1.669,75.21,4
Dibrugarh,27.063266,90.800207,10.4,27.7,283.9,0.77,44.02,2
Dibrugarh,25.638146,92.38166,38.6,28.3,115.1,1.897,75.35,2
Dibrugarh,25.917982,92.59717,128.0,10.8,86.4,1.069,77.83,1
Dibrugarh,26.894281,93.170599,55.6,8.1,219.0,0.491,1.2,4
Dibrugarh,24.728989,92.570201,74.6,26.4,45.8,1.242,89.31,3
Dibrugarh,26.319226,90.70994,140.2,12.0,332.6,1.806,9.87,4
Dibrugarh,27.073037,93.030293,111.8,21.0,240.1,1.166,12.18,2
Dibrugarh,27.137759,90.260017,137.8,15.2,234.3,1.457,47.27,4
Dibrugarh,27.977437,90.214163,51.2,20.0,334.4,0.156,49.39,3
Dibrugarh,26.934248,89.654344,33.6,12.7,241.0,0.444,26.04,4
Dibrugarh,25.079918,90.74778,38.2,3.6,166.3,1.405,99.89,2
Dibrugarh,27.955399,93.040341,67.7,15.6,287.1,0.258,40.8,4
Goalpara,26.945585,92.536174,139.2,25.5,44.9,1.111,94.38,1
Goalpara,25.777017,92.834125,118.0,19.6,88.9,0.619,2.39,2
Goalpara,25.868638,91.11446,54.4,11.7,311.3,1.247,95.73,5
Goalpara,27.871565,89.822606,47.7,2.8,69.1,0.543,39.04,5
Goalpara,27.296918,93.491198,100.4,8.8,280.7,1.29,73.97,4
Goalpara,26.014307,90.665893,115.2,20.7,268.5,0.334,23.41,1
Goalpara,27.622815,91.264572,77.5,6.2,61.4,1.114,6.11,2
Goalpara,27.835456,93.30179,52.6,4.4,133.0,1.94,12.77,2
Goalpara,27.370268,90.617853,127.6,28.5,182.6,0.479,70.55,1
Goalpara,27.002644,89.712191,65.9,0.9,77.1,1.21,47.69,4
Goalpara,24.915829,90.688092,57.2,10.6,147.1,0.667,93.39,4
Goalpara,27.082016,91.892742,100.7,1.2,104.7,0.973,23.21,5
Goalpara,25.077135,92.506548,113.0,8.8,22.5,1.276,72.58,2
Goalpara,27.644532,93.123756,60.9,13.5,87.1,1.979,32.71,3
Goalpara,26.379354,89.816132,84.7,3.7,115.4,0.241,20.24,4
Goalpara,26.892292,90.541917,126.1,9.3,256.1,1.711,90.37,4
Goalpara,24.922878,90.038559,137.5,12.2,47.0,1.385,2.92,2
Goalpara,27.753544,92.843182,48.9,22.6,55.8,0.192,52.6,5
Goalpara,25.513414,93.498263,25.1,12.0,303.2,1.707,82.03,4
Goalpara,24.679375,89.650167,145.1,10.8,105.3,1.4,1.74,3
Goalpara,26.609568,92.034395,47.2,11.6,282.4,0.616,34.56,5
Goalpara,26.536052,91.057241,103.4,16.1,312.9,1.251,76.88,4
Goalpara,27.419535,91.076409,73.7,1.7,226.8,1.516,95.01,3
Golaghat,26.870323,91.053779,98.0,2.3,32.3,0.279,32.76,3
Golaghat,27.089289,93.453237,102.6,25.2,285.6,0.866,28.48,2
Golaghat,25.970718,90.645808,29.5,10.0,113.7,0.438,53.88,4
Golaghat,27.140995,92.359989,40.2,4.3,65.8,1.057,67.05,2
Golaghat,27.910042,93.279607,78.4,25.2,334.4,1.005,14.22,5
Golaghat,25.76613,91.65744,55.1,4.4,357.9,0.376,23.5,3
Golaghat,26.229268,90.261731,66.3,19.8,70.0,0.958,68.37,4
Golaghat,26.759779,93.068409,54.4,11.9,203.3,0.538,84.36,4
Golaghat,24.604918,93.29709,103.5,15.9,192.6,1.016,88.53,3
Golaghat,27.361737,91.717743,86.9,21.3,112.0,0.222,15.12,1
Golaghat,27.993219,91.227211,86.3,10.9,319.2,1.08,83.04,1
Golaghat,26.373084,91.334234,131.4,19.0,24.3,0.589,33.12,3
Golaghat,25.890423,91.647327,124.4,7.5,332.5,1.197,96.83,3
Golaghat,26.721707,92.660372,148.0,10.2,316.0,0.91,76.11,4
Golaghat,26.086228,93.203404,62.4,16.7,339.3,0.253,16.57,3
Golaghat,24.739807,90.769636,84.5,2.8,165.8,0.54,27.11,5
Golaghat,25.700122,90.239507,17.2,0.1,43.9,0.796,69.46,1
Golaghat,26.848173,90.799748,111.4,28.4,175.4,1.686,25.46,3
Golaghat,24.82758,93.335672,87.2,4.6,190.3,0.193,29.05,5
Golaghat,26.065759,90.777445,144.3,18.7,173.3,0.29,81.1,1
Golaghat,25.206488,91.439171,84.3,8.6,287.7,0.558,35.28,2
Golaghat,27.382209,91.703321,103.4,18.7,94.0,1.866,39.58,2
Golaghat,24.920445,90.999657,71.5,20.8,51.2,1.912,61.58,3
Golaghat,27.418883,90.589279,115.8,18.5,94.9,1.597,37.73,4
Golaghat,25.296129,90.560062,126.7,6.0,300.4,1.122,93.51,2
Golaghat,24.797037,90.404994,17.7,7.5,322.9,1.326,40.39,3
Golaghat,25.421541,91.241585,16.9,29.8,66.9,0.653,1.38,4
Golaghat,24.973841,91.85546,125.7,11.3,188.5,0.137,99.95,3
Golaghat,27.516124,92.662135,143.5,8.4,242.2,0.877,72.13,3
Golaghat,26.010429,91.254211,51.9,21.0,304.8,1.528,1.29,5
Golaghat,25.848358,90.975435,62.3,4.1,2.9,1.853,98.04,4
Golaghat,25.278412,90.861249,120.9,7.4,141.9,0.157,39.31,4
Golaghat,26.514966,90.995775,23.4,14.4,345.7,0.607,0.4,2
Golaghat,24.911185,92.927008,15.0,21.3,211.7,1.675,68.55,4
Golaghat,26.151102,90.682919,114.8,26.9,49.4,1.558,60.76,2
Golaghat,27.657797,90.886324,78.9,21.7,31.1,0.967,51.26,2
Golaghat,27.3631,91.560257,114.0,20.7,312.7,0.201,17.59,2
Golaghat,24.816996,92.430146,44.7,10.8,87.2,0.239,35.73,4
Golaghat,26.271244,91.800254,100.8,24.0,64.7,1.884,75.5,4
Golaghat,27.483528,93.477322,135.9,28.2,78.9,0.502,89.36,4
Golaghat,25.33041,92.033873,24.2,26.1,252.2,1.598,63.02,1
Golaghat,27.195628,91.170336,116.7,27.9,150.5,0.279,74.31,2
Golaghat,25.558825,90.323244,135.0,28.2,334.1,0.298,44.73,4
Golaghat,25.156593,91.900448,15.3,19.8,204.3,0.524,41.3,4
Golaghat,26.785873,91.334859,95.3,4.0,281.2,1.374,95.08,3
Golaghat,24.531731,90.832499,62.2,24.7,54.6,1.99,45.5,1
Jorhat,27.090748,91.204824,37.7,5.2,265.3,0.784,88.26,4
Jorhat,26.855114,92.844046,59.5,0.8,44.2,0.62,81.6,1
Jorhat,24.708502,90.670164,134.0,24.9,24.4,1.145,27.16,4
Jorhat,26.236448,89.877789,80.6,2.9,338.7,1.867,14.26,2
Jorhat,26.679633,92.903058,113.7,21.2,151.7,1.417,79.84,2
Jorhat,26.493544,92.38523,83.5,6.4,33.1,1.931,30.66,5
Jorhat,24.525381,90.399363,35.7,25.4,289.7,1.788,45.73,4
Jorhat,25.444496,90.218525,42.3,8.3,142.4,1.377,84.07,5
Jorhat,27.277652,91.872234,78.7,27.6,98.1,0.514,4.55,5
Jorhat,26.425088,92.342375,84.7,15.6,204.2,1.006,81.18,3
Jorhat,26.081632,90.9406,40.9,11.8,328.5,1.756,91.4,2
Jorhat,26.56128,92.999083,16.4,19.2,49.3,0.878,93.63,1
Jorhat,24.801432,90.093321,32.5,12.8,86.7,0.647,32.28,4
Jorhat,26.053627,92.559822,48.8,5.4,267.6,0.738,65.82,3
Jorhat,25.055547,90.301201,137.8,18.2,197.5,0.793,40.13,4
Jorhat,25.006899,92.518318,92.4,24.9,267.0,1.03,39.03,3
Jorhat,27.195097,90.398934,66.5,29.4,346.2,0.374,26.21,3
Jorhat,25.472473,90.251908,63.7,26.4,211.0,1.395,67.51,3
Jorhat,24.977435,90.999888,17.9,17.8,169.5,0.861,93.38,2
Jorhat,25.508792,90.234672,124.6,6.6,354.2,0.141,11.43,1
Jorhat,27.32755,91.51226,117.4,16.1,181.8,1.176,23.57,5
Jorhat,26.87987,90.529221,27.8,22.1,173.7,1.056,27.49,3
Jorhat,25.982372,92.00755,110.2,13.3,111.3,1.185,43.46,5
Jorhat,24.929914,91.938905,96.8,3.3,137.4,1.248,73.33,5
Jorhat,26.089407,90.370912,51.2,24.4,90.8,1.547,73.74,1
Jorhat,25.274961,90.551416,14.2,10.3,217.7,1.454,9.8,5
Jorhat,26.528753,90.93019,114.7,14.8,223.7,0.821,24.5,5
Jorhat,24.882454,90.196668,106.1,7.9,308.6,0.698,56.82,2
Jorhat,27.015477,90.47096,11.2,0.7,267.0,1.48,94.86,3
Jorhat,26.682697,89.500406,60.9,3.0,108.5,0.816,43.01,2
Jorhat,27.884337,92.455948,41.6,9.7,51.2,0.598,16.67,2
Kamrup,24.960192,92.936485,143.5,14.2,50.3,1.244,8.81,4
Kamrup,26.525612,93.393902,137.2,14.5,359.6,0.46,52.31,1
Kamrup,26.721891,89.73387,22.0,15.2,91.3,1.423,26.21,2
Kamrup,25.591934,91.710988,19.7,28.0,174.6,1.803,42.62,5
Kamrup,25.247371,92.716238,19.1,15.3,318.7,0.504,79.11,3
Kamrup,25.484244,91.099388,34.1,13.6,222.2,1.172,44.68,1
Kamrup,24.661617,91.134347,17.2,20.8,242.0,0.13,52.54,5
Kamrup,24.937858,93.201721,11.1,23.7,194.9,0.788,85.84,1
Kamrup,25.839376,89.930388,90.2,27.4,119.0,0.877,24.52,1
Kamrup,24.98633,90.051257,147.1,26.3,171.4,0.301,79.89,1
Kamrup,27.494092,90.288708,88.8,19.2,299.2,0.955,5.22,3
Kamrup,27.572685,92.369559,35.3,8.3,328.7,1.12,55.59,3
Kamrup,25.319935,90.111708,29.6,19.3,104.1,1.582,19.35,5
Kamrup,25.357952,91.73787,43.5,4.5,314.5,1.871,33.24,5
Kamrup,24.67123,90.755513,149.5,10.3,233.9,0.462,86.34,4
Kamrup,27.859085,91.256219,57.6,4.3,88.6,1.034,85.86,4
Kamrup,26.315349,89.932604,126.6,29.1,91.0,0.311,57.51,3
Kamrup,25.759176,89.810051,119.9,14.1,183.9,1.989,20.26,2
Kamrup,26.916682,90.600383,33.9,15.7,45.2,0.824,2.51,2
Kamrup,26.419314,93.300353,61.3,23.9,1.1,1.231,71.22,5
Kamrup,24.928759,91.914942,24.8,10.3,343.9,1.137,8.8,5
Kamrup,26.85832,92.329103,149.6,20.2,30.1,1.371,79.18,3
Kamrup,27.408587,91.023882,91.6,23.9,251.1,0.913,41.84,1
Kamrup,24.536584,91.169166,75.5,14.8,51.0,1.735,57.56,4
Kamrup,24.952895,90.533949,26.4,22.9,20.1,0.973,95.16,5
Kamrup,26.023626,90.684928,136.7,11.6,295.8,1.024,1.18,2
Kamrup,24.609363,90.30381,112.9,0.2,221.0,1.165,83.71,3
Kamrup,25.137801,93.052551,34.5,4.2,81.8,0.909,5.15,5
Kamrup,26.590966,91.50514,146.2,21.4,214.7,1.935,15.4,4
Kamrup,27.574112,92.198304,77.9,8.1,340.2,1.904,99.03,2
Kamrup,24.747203,93.149563,124.1,29.1,94.3,0.591,74.46,5
Kamrup,26.466793,92.919687,100.0,3.1,24.1,0.864,89.87,2
Kamrup,27.564249,91.932813,128.6,10.8,164.9,0.874,73.74,5
Kamrup,25.05257,90.617421,99.9,5.7,304.5,1.719,30.92,1
Kamrup,24.65125,92.987793,111.8,7.0,137.6,1.437,93.8,2
Kamrup,27.92797,90.172127,67.6,0.7,23.9,0.878,89.76,4
Kamrup,26.037984,91.911649,66.3,2.0,60.6,1.363,57.21,3
Kamrup,25.358774,92.946408,145.4,10.2,122.8,0.502,53.79,4
