event_id,year,district,start_date,end_date,peak_level_m,area_affected_km2,villages_affected,population_affected,crop_loss_ha,deaths,displaced,severity
35,2022,Darrang,2022-09-17,2022-09-23,6.54,473.83,5,32283,360.61,4,2145,low
36,2022,Darrang,2022-09-21,2022-09-25,5.69,208.18,39,33672,503.55,9,4241,extreme
37,2022,Darrang,2022-06-24,2022-07-07,8.07,13.51,43,12536,148.08,1,3993,extreme
38,2023,Darrang,2023-09-09,2023-09-20,10.22,252.13,16,41181,531.65,4,6621,high
39,2023,Darrang,2023-09-21,2023-09-26,10.41,427.95,33,43560,987.34,8,5397,medium
40,2023,Darrang,2023-07-14,2023-07-27,6.14,187.46,17,4635,673.12,8,4632,high
41,2024,Darrang,2024-08-15,2024-08-22,9.16,430.52,44,36841,872.86,6,2749,low
42,2024,Darrang,2024-07-20,2024-07-26,10.65,474.59,20,45941,863.2,10,5618,low
43,2025,Darrang,2025-08-06,2025-08-13,6.14,121.38,12,7044,123.54,3,6081,medium
44,2025,Darrang,2025-09-01,2025-09-15,5.2,389.61,41,13998,472.44,5,6557,medium
45,2025,Darrang,2025-09-26,2025-10-02,3.62,304.14,47,28714,42.52,0,7345,high
46,2020,Dhemaji,2020-07-23,2020-07-26,4.6,493.74,21,38017,865.28,3,7984,high
47,2021,Dhemaji,2021-07-02,2021-07-07,10.11,109.72,32,20411,109.76,10,4348,high
48,2022,Dhemaji,2022-08-18,2022-09-01,7.19,172.15,7,12492,145.27,8,7523,medium
49,2023,Dhemaji,2023-08-06,2023-08-20,3.03,281.53,23,33741,996.67,2,9776,medium
50,2023,Dhemaji,2023-08-19,2023-08-30,9.26,394.53,24,16745,272.5,5,3624,high
51,2024,Dhemaji,2024-09-05,2024-09-10,4.46,381.65,46,20530,305.81,0,7083,high
52,2025,Dhemaji,2025-06-16,2025-06-29,11.34,448.99,50,26729,283.61,3,8788,high
53,2020,Dhubri,2020-09-04,2020-09-12,10.98,448.4,14,29386,524.2,4,2434,high
54,2020,Dhubri,2020-08-21,2020-09-01,5.16,297.08,25,3869,896.07,6,3264,high
55,2021,Dhubri,2021-07-17,2021-07-27,3.89,259.19,6,27914,440.27,4,7612,high
56,2021,Dhubri,2021-08-15,2021-08-20,8.06,153.28,12,22930,238.37,5,4313,high
57,2022,Dhubri,2022-06-25,2022-07-10,3.67,343.65,35,24910,220.34,4,652,medium
58,2023,Dhubri,2023-07-25,2023-07-30,9.31,234.12,13,9563,978.61,1,5727,high
59,2023,Dhubri,2023-08-16,2023-08-19,11.03,22.59,38,45437,312.62,8,8296,extreme
60,2023,Dhubri,2023-06-13,2023-06-18,3.04,351.27,38,23146,568.94,0,2796,high
61,2024,Dhubri,2024-06-11,2024-06-22,7.42,242.51,16,12563,87.34,0,8045,low
62,2024,Dhubri,2024-06-28,2024-07-12,10.18,493.38,24,48412,365.85,9,4955,high
63,2025,Dhubri,2025-09-25,2025-09-28,4.66,113.62,14,27341,382.44,10,5104,high
64,2020,Dibrugarh,2020-09-05,2020-09-11,5.37,336.38,5,25158,158.17,0,200,medium
65,2020,Dibrugarh,2020-06-16,2020-06-21,10.67,367.94,11,41735,213.09,2,7619,high
66,2021,Dibrugarh,2021-08-02,2021-08-07,10.81,391.42,36,13274,832.57,7,5863,low
67,2021,Dibrugarh,2021-06-28,2021-07-10,6.26,364.41,31,48611,535.24,8,4410,low
68,2022,Dibrugarh,2022-07-01,2022-07-09,9.2,497.04,31,15346,761.65,1,6439,medium
69,2023,Dibrugarh,2023-08-09,2023-08-18,11.34,184.43,24,37376,978.86,5,8755,medium
70,2023,Dibrugarh,2023-09-11,2023-09-22,8.67,340.62,25,3516,950.18,5,2914,low
71,2023,Dibrugarh,2023-08-03,2023-08-09,9.11,450.24,46,48642,49.3,2,8296,low
72,2024,Dibrugarh,2024-08-26,2024-08-29,5.49,138.1,45,38289,536.87,9,8846,extreme
73,2024,Dibrugarh,2024-06-11,2024-06-16,7.98,183.32,25,17161,395.52,3,9302,low
74,2024,Dibrugarh,2024-09-11,2024-09-22,11.27,269.64,11,2072,227.88,10,9464,low
75,2025,Dibrugarh,2025-08-05,2025-08-17,4.03,105.39,23,34443,798.88,9,774,medium
76,2025,Dibrugarh,2025-06-20,2025-06-24,4.05,66.72,10,19098,584.83,9,3102,low
77,2025,Dibrugarh,2025-09-20,2025-09-28,4.13,457.52,47,34029,561.55,2,2893,high
78,2020,Goalpara,2020-07-08,2020-07-18,3.5,20.93,27,40522,407.97,0,3702,high
79,2020,Goalpara,2020-06-06,2020-06-11,4.07,149.05,36,28544,915.42,5,1474,extreme
80,2021,Goalpara,2021-06-22,2021-06-27,4.81,140.5,21,3924,59.78,9,5395,extreme
81,2022,Goalpara,2022-06-04,2022-06-15,10.1,171.65,7,28710,137.41,2,6524,low
82,2022,Goalpara,2022-08-07,2022-08-20,9.98,142.16,21,19944,503.08,3,2625,extreme
83,2022,Goalpara,2022-06-07,2022-06-16,9.25,68.3,9,47743,558.13,5,8420,medium
84,2023,Goalpara,2023-09-08,2023-09-15,9.81,54.58,9,22174,887.83,0,4892,medium
85,2024,Goalpara,2024-06-02,2024-06-13,5.73,116.16,42,795,105.09,1,3149,medium
86,2024,Goalpara,2024-06-25,2024-07-09,4.68,92.01,8,2625,837.9,0,9861,high
87,2025,Goalpara,2025-08-24,2025-08-28,6.04,223.74,34,494,809.45,1,7326,extreme
88,2020,Golaghat,2020-07-02,2020-07-07,11.42,314.41,29,29748,877.63,1,5020,medium
89,2021,Golaghat,2021-07-22,2021-07-25,8.77,293.9,44,36490,653.6,9,1946,low
90,2021,Golaghat,2021-06-14,2021-06-19,9.37,36.61,31,26678,729.36,4,3220,low
91,2022,Golaghat,2022-08-24,2022-08-28,4.31,25.51,45,3975,92.23,0,4888,low
92,2023,Golaghat,2023-06-13,2023-06-28,8.09,239.4,25,36673,546.27,8,9935,medium
93,2023,Golaghat,2023-06-17,2023-06-26,7.03,407.84,19,22823,903.06,6,5402,low
94,2023,Golaghat,2023-09-20,2023-09-25,10.72,300.16,43,23392,815.35,0,7399,high
95,2024,Golaghat,2024-06-15,2024-06-24,9.36,62.61,15,7631,541.86,3,1641,extreme
96,2024,Golaghat,2024-09-05,2024-09-16,6.3,76.68,36,281,421.96,9,5251,extreme
97,2024,Golaghat,2024-06-09,2024-06-17,5.98,374.93,14,28850,952.91,9,8514,low
98,2025,Golaghat,2025-08-01,2025-08-04,6.8,233.44,9,29694,483.24,4,6497,high
99,2025,Golaghat,2025-08-02,2025-08-14,7.06,59.98,20,11709,723.86,4,2232,high
100,2020,Jorhat,2020-09-16,2020-09-20,9.47,105.54,7,5222,988.53,5,7443,medium
101,2021,Jorhat,2021-07-03,2021-07-13,6.8,208.54,41,294,92.58,0,3847,low
102,2022,Jorhat,2022-07-09,2022-07-21,5.78,316.5,41,2059,319.67,5,9553,medium
103,2023,Jorhat,2023-06-19,2023-06-30,9.87,40.54,38,8677,704.6,9,3731,high
104,2023,Jorhat,2023-06-26,2023-07-04,8.18,229.98,49,45038,96.97,0,534,high
105,2023,Jorhat,2023-07-19,2023-08-02,5.27,196.68,9,33967,608.24,9,4301,low
106,2024,Jorhat,2024-09-11,2024-09-16,6.18,25.94,21,40792,136.68,1,3888,low
107,2024,Jorhat,2024-09-10,2024-09-20,6.99,328.35,42,18886,226.46,5,7474,extreme
108,2024,Jorhat,2024-09-12,2024-09-22,6.99,404.86,48,32402,624.71,1,8160,medium
109,2025,Jorhat,2025-09-12,2025-09-15,3.93,234.96,37,12554,622.75,6,2821,high
110,2025,Jorhat,2025-09-04,2025-09-14,4.85,416.26,40,1650,965.48,10,5982,high
111,2025,Jorhat,2025-07-24,2025-08-07,8.38,68.6,8,994,854.7,8,6233,extreme
112,2020,Kamrup,2020-09-07,2020-09-20,10.1,440.87,47,19689,80.72,1,995,low
113,2020,Kamrup,2020-09-23,2020-10-01,7.51,124.06,39,8126,102.77,9,7642,extreme
114,2020,Kamrup,2020-07-14,2020-07-22,3.5,324.84,16,9390,395.99,4,7295,medium
115,2021,Kamrup,2021-08-03,2021-08-11,3.62,202.46,30,39029,288.04,8,3888,high
116,2021,Kamrup,2021-09-07,2021-09-21,7.39,111.29,44,33158,40.82,0,4632,medium
117,2022,Kamrup,2022-06-28,2022-07-13,8.28,404.1,7,49336,142.51,8,6064,extreme
118,2022,Kamrup,2022-08-16,2022-08-31,8.14,259.51,32,44511,978.05,2,2428,low
119,2023,Kamrup,2023-08-20,2023-08-23,10.52,418.93,40,35642,741.73,7,8647,medium
120,2024,Kamrup,2024-08-27,2024-09-04,10.91,74.75,46,21822,252.45,8,503,extreme
121,2024,Kamrup,2024-09-04,2024-09-19,10.51,456.74,47,29058,881.07,2,1125,low
122,2024,Kamrup,2024-07-23,2024-07-28,9.52,56.53,34,44563,60.68,2,6644,high
123,2025,Kamrup,2025-06-03,2025-06-14,10.76,309.67,7,20318,41.46,0,4251,high
124,2020,Karimganj,2020-09-18,2020-10-01,9.41,400.16,46,42772,936.27,1,6785,extreme
125,2021,Karimganj,2021-06-03,2021-06-12,4.35,421.35,27,13401,572.71,6,2410,extreme
126,2022,Karimganj,2022-08-19,2022-08-24,7.91,116.47,38,15048,196.79,9,2698,extreme
127,2022,Karimganj,2022-07-05,2022-07-20,11.99,82.63,22,11867,520.61,8,9571,low
128,2023,Karimganj,2023-09-23,2023-09-26,8.65,266.55,7,48938,787.67,0,1813,medium
129,2023,Karimganj,2023-09-13,2023-09-20,8.52,180.14,43,25330,961.7,7,2901,medium
130,2024,Karimganj,2024-06-17,2024-06-25,5.27,415.24,39,32017,614.63,2,3714,extreme
131,2024,Karimganj,2024-07-28,2024-08-10,5.83,124.42,24,29048,763.69,2,2303,medium
132,2024,Karimganj,2024-06-27,2024-07-10,8.22,478.22,44,2133,865.82,10,5955,low
133,2025,Karimganj,2025-07-11,2025-07-17,7.87,482.06,26,31703,308.47,9,4403,low
134,2025,Karimganj,2025-09-07,2025-09-20,5.09,323.03,37,20957,753.65,5,3970,medium
135,2025,Karimganj,2025-08-17,2025-08-20,5.33,113.03,16,29147,927.81,9,6111,low
136,2020,Kokrajhar,2020-06-23,2020-07-08,8.39,402.83,16,15913,232.71,7,3704,medium
137,2021,Kokrajhar,2021-08-02,2021-08-16,9.64,421.8,28,920,222.47,10,7571,low
138,2021,Kokrajhar,2021-06-11,2021-06-24,4.8,428.98,39,30166,985.83,5,6462,high
139,2021,Kokrajhar,2021-09-18,2021-09-24,11.36,367.96,18,43572,426.4,8,6671,medium
140,2022,Kokrajhar,2022-08-12,2022-08-15,8.16,268.68,15,47813,653.52,4,5872,high
141,2023,Kokrajhar,2023-08-13,2023-08-28,6.06,373.34,5,21272,438.2,8,6468,low
142,2023,Kokrajhar,2023-06-23,2023-06-28,4.12,33.92,7,7468,601.01,9,9391,low
143,2024,Kokrajhar,2024-09-17,2024-10-01,6.12,305.01,41,9718,699.16,2,3698,low
144,2025,Kokrajhar,2025-09-28,2025-10-03,9.65,316.01,26,17022,819.11,7,4863,low
145,2020,Lakhimpur,2020-06-16,2020-07-01,3.51,333.01,16,14673,884.26,6,9176,medium
146,2020,Lakhimpur,2020-09-08,2020-09-22,3.76,262.5,18,23036,484.1,10,5002,low
147,2020,Lakhimpur,2020-08-01,2020-08-13,10.05,436.1,21,24300,768.91,3,5604,high
148,2021,Lakhimpur,2021-09-10,2021-09-15,11.78,450.15,36,33686,970.58,0,5459,medium
149,2022,Lakhimpur,2022-06-03,2022-06-18,7.28,369.1,27,4661,457.23,2,629,extreme
150,2023,Lakhimpur,2023-06-12,2023-06-27,11.89,429.91,12,28261,579.6,10,868,high
151,2024,Lakhimpur,2024-09-17,2024-09-20,9.7,394.83,10,20939,60.44,5,9853,low
152,2025,Lakhimpur,2025-07-08,2025-07-13,9.44,138.72,9,25992,284.1,2,3544,medium
153,2025,Lakhimpur,2025-09-08,2025-09-12,3.37,411.27,27,7257,189.89,10,4873,extreme
154,2020,Morigaon,2020-06-01,2020-06-09,11.85,448.47,42,20865,160.62,6,3884,high
155,2021,Morigaon,2021-09-05,2021-09-19,10.99,222.08,26,19311,505.15,2,4650,extreme
156,2021,Morigaon,2021-06-25,2021-06-30,9.87,188.38,31,33846,413.62,9,7898,extreme
157,2021,Morigaon,2021-06-06,2021-06-20,10.72,136.74,16,39144,493.47,2,7349,low
158,2022,Morigaon,2022-06-06,2022-06-12,5.59,406.22,11,4214,568.32,9,2062,extreme
159,2022,Morigaon,2022-08-27,2022-09-05,4.99,274.12,43,39541,75.27,8,6077,extreme
160,2023,Morigaon,2023-07-19,2023-07-22,5.17,497.36,7,4611,74.14,4,6366,extreme
161,2024,Morigaon,2024-07-14,2024-07-18,8.78,246.35,10,16593,485.91,5,6297,extreme
162,2025,Morigaon,2025-07-09,2025-07-17,7.4,81.38,17,26611,562.04,7,8025,medium
163,2020,Nagaon,2020-07-20,2020-07-29,5.63,350.96,35,15844,846.13,9,863,low
164,2020,Nagaon,2020-08-26,2020-08-29,4.45,407.06,28,6040,872.47,1,9023,medium
165,2020,Nagaon,2020-08-01,2020-08-10,4.29,454.61,23,4507,123.94,10,8256,extreme
166,2021,Nagaon,2021-09-02,2021-09-09,8.76,494.92,30,31357,718.45,7,7124,high
167,2022,Nagaon,2022-06-05,2022-06-11,7.32,71.02,50,17297,553.08,3,6151,medium
168,2022,Nagaon,2022-07-22,2022-08-01,3.69,299.49,46,6231,708.02,6,4556,low
169,2022,Nagaon,2022-09-02,2022-09-05,5.46,375.12,30,2083,615.84,0,9297,medium
170,2023,Nagaon,2023-09-27,2023-09-30,11.58,221.92,13,4847,673.15,7,3551,extreme
171,2023,Nagaon,2023-07-09,2023-07-14,8.24,274.8,7,31008,860.88,5,218,high
172,2024,Nagaon,2024-06-04,2024-06-09,9.43,76.82,21,35950,282.75,2,9116,extreme
173,2025,Nagaon,2025-09-16,2025-10-01,3.73,72.34,30,14512,393.27,9,6977,high
174,2025,Nagaon,2025-09-07,2025-09-16,8.38,86.7,17,46770,787.37,5,2337,high
175,2025,Nagaon,2025-09-28,2025-10-01,5.57,168.89,41,5060,888.48,5,1249,high
176,2020,Nalbari,2020-06-17,2020-06-27,6.27,474.98,36,49665,542.32,8,7593,extreme
177,2021,Nalbari,2021-06-05,2021-06-09,8.43,230.03,14,9722,949.6,0,3169,extreme
178,2021,Nalbari,2021-06-15,2021-06-20,7.1,469.11,25,23362,235.05,8,453,low
179,2021,Nalbari,2021-09-17,2021-09-21,11.07,471.5,11,17720,922.8,10,8246,medium
180,2022,Nalbari,2022-09-03,2022-09-09,10.6,225.54,20,6679,167.73,3,9425,extreme
181,2022,Nalbari,2022-09-02,2022-09-17,10.98,264.81,25,29541,212.62,0,7513,low
182,2022,Nalbari,2022-09-09,2022-09-16,8.3,445.8,28,48152,145.09,7,2010,high
183,2023,Nalbari,2023-07-02,2023-07-08,6.22,211.06,44,20189,42.06,3,5142,medium
184,2024,Nalbari,2024-09-02,2024-09-15,11.55,278.85,10,17895,915.5,3,768,low
185,2024,Nalbari,2024-09-12,2024-09-17,7.97,29.33,42,48178,665.32,9,929,extreme
186,2025,Nalbari,2025-06-09,2025-06-24,5.57,276.75,41,23993,964.08,7,4349,extreme
187,2020,Sivasagar,2020-08-04,2020-08-12,9.16,239.15,31,41099,849.47,1,3460,medium
188,2021,Sivasagar,2021-08-09,2021-08-13,3.18,255.34,28,44464,136.99,4,8340,extreme
189,2021,Sivasagar,2021-09-09,2021-09-21,7.87,77.59,44,48718,253.84,2,7018,extreme
190,2022,Sivasagar,2022-08-07,2022-08-11,8.29,241.09,21,13523,293.05,2,8010,low
191,2023,Sivasagar,2023-06-12,2023-06-22,7.56,268.69,13,46562,946.26,8,9009,high
192,2023,Sivasagar,2023-09-26,2023-10-06,3.46,282.2,18,18732,502.57,1,7841,high
193,2023,Sivasagar,2023-09-13,2023-09-19,4.49,321.66,17,8144,643.0,6,6030,low
194,2024,Sivasagar,2024-08-15,2024-08-27,8.31,90.35,46,17617,817.64,9,6296,extreme
195,2024,Sivasagar,2024-09-25,2024-10-09,11.34,63.73,43,23551,738.42,5,7496,low
196,2024,Sivasagar,2024-09-06,2024-09-14,4.99,111.91,10,39350,389.43,6,7565,medium
197,2025,Sivasagar,2025-06-11,2025-06-24,3.11,490.44,44,30250,482.53,1,293,extreme
198,2025,Sivasagar,2025-09-26,2025-10-06,3.12,410.36,50,22607,342.39,6,8587,low
199,2025,Sivasagar,2025-08-07,2025-08-15,7.35,89.38,19,13229,691.28,0,6974,low
200,2020,Sonitpur,2020-06-14,2020-06-28,9.03,328.97,15,37035,374.69,2,683,extreme
201,2020,Sonitpur,2020-07-22,2020-07-25,9.93,386.74,28,6358,985.97,10,4277,extreme
202,2020,Sonitpur,2020-09-25,2020-09-29,4.57,448.87,8,40752,536.65,7,416,extreme
203,2021,Sonitpur,2021-09-10,2021-09-13,8.82,390.71,19,43147,369.21,3,610,medium
204,2021,Sonitpur,2021-07-19,2021-07-26,8.99,351.53,38,5596,570.79,10,6312,high
205,2021,Sonitpur,2021-08-04,2021-08-18,7.4,487.76,13,49502,309.62,4,7228,high
206,2022,Sonitpur,2022-07-21,2022-08-03,7.93,128.19,39,5567,939.93,4,3188,extreme
207,2022,Sonitpur,2022-08-01,2022-08-06,8.91,201.79,30,5045,172.62,0,6706,high
208,2022,Sonitpur,2022-08-18,2022-08-31,10.13,402.38,17,25601,339.05,6,5341,extreme
209,2023,Sonitpur,2023-06-01,2023-06-14,10.87,286.27,35,21144,607.01,3,5931,low
210,2023,Sonitpur,2023-08-05,2023-08-20,8.59,336.13,20,13425,689.91,4,7892,high
211,2023,Sonitpur,2023-07-21,2023-07-28,4.93,389.01,23,11365,769.81,7,3219,extreme
212,2024,Sonitpur,2024-09-06,2024-09-10,6.31,288.49,34,39224,794.28,8,2869,extreme
213,2025,Sonitpur,2025-09-05,2025-09-08,8.47,411.39,8,27211,734.79,3,9866,low
214,2020,Tinsukia,2020-07-25,2020-07-31,11.14,432.89,50,1879,198.53,0,1035,high
215,2020,Tinsukia,2020-09-15,2020-09-27,7.45,15.86,22,8822,993.79,7,8083,high
216,2021,Tinsukia,2021-07-11,2021-07-23,5.44,34.31,24,36078,541.97,7,3524,medium
217,2021,Tinsukia,2021-06-07,2021-06-12,4.16,141.29,49,9583,713.66,9,9076,high
218,2021,Tinsukia,2021-07-05,2021-07-15,7.09,170.72,46,1650,263.69,3,3241,low
219,2022,Tinsukia,2022-07-26,2022-08-03,11.49,385.36,21,514,247.23,0,8480,high
220,2023,Tinsukia,2023-06-16,2023-06-27,4.78,358.92,16,41102,749.23,9,8415,medium
221,2023,Tinsukia,2023-09-19,2023-10-01,10.98,420.42,20,11372,308.34,10,9632,high
222,2024,Tinsukia,2024-06-24,2024-07-07,5.81,255.99,17,44599,960.23,6,9572,extreme
223,2024,Tinsukia,2024-09-02,2024-09-09,11.06,42.75,8,29649,735.44,6,5653,extreme
224,2024,Tinsukia,2024-08-18,2024-08-31,8.12,226.77,29,15986,89.82,1,7327,extreme
225,2025,Tinsukia,2025-06-23,2025-07-03,5.21,30.66,46,44634,431.87,2,8502,medium
